,JENIS PPH,TAHUN PAJAK,MASA PAJAK,NOMOR BUPOT,IDENTITAS DIPOTONG,JENIS IDENTITAS DIPOTONG,NAMA DIPOTONG,KODE OBJEK PAJAK,JUMLAH BRUTO,PPH DIPOTONG,STATUS BUKTI POTONG,PEMB KE-,,NAMA DOK REF,NOMOR DOK REF,TGL DOK REF,STATUS PELAPORAN,,
,PPH23,2020,11,3300004432,028252815604000,NPWP,CITRARAYA ,24-104-18,637971,12759,NORMAL,0,,Surat Perjanjian,NOVEMBER 2020,2020-11-30T00:00:00,BELUM POSTING,,
,PPH23,2020,11,3300004433,314093014612001,NPWP,ISTANA MITRA ,24-104-18,3348339,66966,NORMAL,0,,Surat Perjanjian,NOVEMBER 2020,2020-11-30T00:00:00,BELUM POSTING,,
,PPH23,2020,11,3300004434,662976836048000,NPWP,SEJAHTERA BUANA ,24-104-18,1452246,29044,NORMAL,0,,Surat Perjanjian,NOVEMBER 2020,2020-11-30T00:00:00,BELUM POSTING,,
,PPH23,2020,11,3300004435,016774135631000,NPWP,SRIKANDIDIAMOND ,24-104-18,688831,13776,NORMAL,0,,Surat Perjanjian,NOVEMBER 2020,2020-11-30T00:00:00,BELUM POSTING,,
,PPH23,2020,11,3300004436,763880242077000,NPWP,CARBAY SERVICES ,24-104-18,110201251,2204025,NORMAL,0,,Surat Perjanjian,NOVEMBER 2020,2020-11-30T00:00:00,BELUM POSTING,,
,PPH23,2020,11,3300004437,011088705631000,NPWP,SURYA AGUNG ,24-104-18,1503237,30064,NORMAL,0,,Surat Perjanjian,NOVEMBER 2020,2020-11-30T00:00:00,BELUM POSTING,,
,PPH23,2020,11,3300004438,011355542123000,NPWP,DIPO ,24-104-18,948480,18969,NORMAL,0,,Surat Perjanjian,NOVEMBER 2020,2020-11-30T00:00:00,BELUM POSTING,,
,PPH23,2020,11,3300004439,018874495331000,NPWP,SIPIN MOBILINDO,24-104-18,4580504,91610,NORMAL,0,,Surat Perjanjian,NOVEMBER 2020,2020-11-30T00:00:00,BELUM POSTING,,
,PPH23,2020,11,3300004440,016042277331001,NPWP,AGUNG AUTOMALL,24-104-18,9269800,185396,NORMAL,0,,Surat Perjanjian,NOVEMBER 2020,2020-11-30T00:00:00,BELUM POSTING,,
,PPH23,2020,11,3300004441,011020195331001,NPWP,SUKA FAJAR,24-104-18,2988165,59763,NORMAL,0,,Surat Perjanjian,NOVEMBER 2020,2020-11-30T00:00:00,BELUM POSTING,,
,PPH23,2020,11,3300004442,017077421062000,NPWP,ASCO PRIMA ,24-104-18,6914309,0,NORMAL,0,,Surat Perjanjian,NOVEMBER 2020,2020-11-30T00:00:00,BELUM POSTING,,
,PPH23,2020,11,3300004443,014691570631000,NPWP,BUANA PERKASA ,24-104-18,602883,12057,NORMAL,0,,Surat Perjanjian,NOVEMBER 2020,2020-11-30T00:00:00,BELUM POSTING,,
,PPH23,2020,11,3300004444,011372380631000,NPWP,UNITED MOTORS ,24-104-18,3184255,63685,NORMAL,0,,Surat Perjanjian,NOVEMBER 2020,2020-11-30T00:00:00,BELUM POSTING,,
,PPH23,2020,11,3300004445,031977283626000,NPWP,ISTANA MOBIL ,24-104-18,14791983,295839,NORMAL,0,,Surat Perjanjian,NOVEMBER 2020,2020-11-30T00:00:00,BELUM POSTING,,
,PPH23,2020,11,3300004446,011057999408000,NPWP,PRABU PURA ,24-104-18,2714045,54280,NORMAL,0,,Surat Perjanjian,NOVEMBER 2020,2020-11-30T00:00:00,BELUM POSTING,,
,PPH23,2020,11,3300004447,012109617441000,NPWP,ISTANA BANDUNG ,24-104-18,16314406,326288,NORMAL,0,,Surat Perjanjian,NOVEMBER 2020,2020-11-30T00:00:00,BELUM POSTING,,
,PPH23,2020,11,3300004448,011058955441000,NPWP,RESTU MAHKOTA ,24-104-18,8671266,173425,NORMAL,0,,Surat Perjanjian,NOVEMBER 2020,2020-11-30T00:00:00,BELUM POSTING,,
,PPH23,2020,11,3300004449,026274092408000,NPWP,FAJAR KUMALA ,24-104-18,5979545,119590,NORMAL,0,,Surat Perjanjian,NOVEMBER 2020,2020-11-30T00:00:00,BELUM POSTING,,
,PPH23,2020,11,3300004450,018174920007000,NPWP,INDOMOBIL TRADA ,24-104-18,3204843,64096,NORMAL,0,,Surat Perjanjian,NOVEMBER 2020,2020-11-30T00:00:00,BELUM POSTING,,
,PPH23,2020,11,3300004451,020061818411000,NPWP,DWINDO BERLIAN ,24-104-18,545198,10903,NORMAL,0,,Surat Perjanjian,NOVEMBER 2020,2020-11-30T00:00:00,BELUM POSTING,,
,PPH23,2020,11,3300004452,030405666047000,NPWP,TRI MANDIRI ,24-104-18,6142286,122845,NORMAL,0,,Surat Perjanjian,NOVEMBER 2020,2020-11-30T00:00:00,BELUM POSTING,,
,PPH23,2020,11,3300004453,013409925062000,NPWP,SETIANITA MEGAH ,24-104-18,1628520,32570,NORMAL,0,,Surat Perjanjian,NOVEMBER 2020,2020-11-30T00:00:00,BELUM POSTING,,
,PPH23,2020,11,3300004454,013364922036000,NPWP,ADHIPRIMA UTAMA ,24-104-18,2918314,58366,NORMAL,0,,Surat Perjanjian,NOVEMBER 2020,2020-11-30T00:00:00,BELUM POSTING,,
,PPH23,2020,11,3300004455,013364922035001,NPWP,ADHIPRIMA UTAMA ,24-104-18,2884836,57696,NORMAL,0,,Surat Perjanjian,NOVEMBER 2020,2020-11-30T00:00:00,BELUM POSTING,,
,PPH23,2020,11,3300004456,017841065914000,NPWP,PRIMA PARAMA ,24-104-18,2877833,57556,NORMAL,0,,Surat Perjanjian,NOVEMBER 2020,2020-11-30T00:00:00,BELUM POSTING,,
,PPH23,2020,11,3300004457,820756021015000,NPWP,NUSANTARA MOBIL ,24-104-18,586747,11734,NORMAL,0,,Surat Perjanjian,NOVEMBER 2020,2020-11-30T00:00:00,BELUM POSTING,,
,PPH23,2020,11,3300004458,015828676441000,NPWP,INDOSENTOSA ,24-104-18,4520570,90411,NORMAL,0,,Surat Perjanjian,NOVEMBER 2020,2020-11-30T00:00:00,BELUM POSTING,,
,PPH23,2020,11,3300004459,763880242077000,NPWP,CARBAY SERVICES ,24-104-18,42647393,852947,NORMAL,0,,Surat Perjanjian,NOVEMBER 2020,2020-11-30T00:00:00,BELUM POSTING,,
,PPH23,2020,11,3300004460,024386468431000,NPWP,WAHANA PERSADA ,24-104-18,1379299,27585,NORMAL,0,,Surat Perjanjian,NOVEMBER 2020,2020-11-30T00:00:00,BELUM POSTING,,
,PPH23,2020,11,3300004461,930235262013000,NPWP,KARTA MAS ,24-104-18,5331344,106626,NORMAL,0,,Surat Perjanjian,NOVEMBER 2020,2020-11-30T00:00:00,BELUM POSTING,,
,PPH23,2020,11,3300004462,015707227016000,NPWP,SUN STAR PRIMA ,24-104-18,2517611,50352,NORMAL,0,,Surat Perjanjian,NOVEMBER 2020,2020-11-30+07:00,BELUM POSTING,,
,PPH23,2020,11,3300004463,011096187651000,NPWP,GARUDA MOTORS ,24-104-18,2272727,45454,NORMAL,0,,Surat Perjanjian,NOVEMBER 2020,2020-11-30T00:00:00,BELUM POSTING,,
,PPH23,2020,11,3300004464,016774135631000,NPWP,SRIKANDIDIAMOND ,24-104-18,1196850,23937,NORMAL,0,,Surat Perjanjian,NOVEMBER 2020,2020-11-30T00:00:00,BELUM POSTING,,
,PPH23,2020,11,3300004465,026665125629001,NPWP,PACIFIC MUKTI ,24-104-18,11124614,222492,NORMAL,0,,Surat Perjanjian,NOVEMBER 2020,2020-11-30T00:00:00,BELUM POSTING,,
,PPH23,2020,11,3300004466,017077421062000,NPWP,ASCO PRIMA ,24-104-18,2325046,0,NORMAL,0,,Surat Perjanjian,NOVEMBER 2020,2020-11-30T00:00:00,BELUM POSTING,,
,PPH23,2020,11,3300004467,017077421062000,NPWP,ASCO PRIMA ,24-104-18,1112011,0,NORMAL,0,,Surat Perjanjian,NOVEMBER 2020,2020-11-30T00:00:00,BELUM POSTING,,
,PPH23,2020,11,3300004468,018256529032001,NPWP,ARMADA AUTO ,24-104-18,1305285,26105,NORMAL,0,,Surat Perjanjian,NOVEMBER 2020,2020-11-30T00:00:00,BELUM POSTING,,
,PPH23,2020,11,3300004469,017814575046000,NPWP,HANDIJAYA BUANA ,24-104-18,2163880,43277,NORMAL,0,,Surat Perjanjian,NOVEMBER 2020,2020-11-30T00:00:00,BELUM POSTING,,
,PPH23,2020,11,3300004470,013755574073000,NPWP,TUNAS MOBILINDO ,24-104-18,3720455,74409,NORMAL,0,,Surat Perjanjian,NOVEMBER 2020,2020-11-30T00:00:00,BELUM POSTING,,
,PPH23,2020,11,3300004471,013102330054000,NPWP,TUNAS RIDEAN TBK.,24-104-18,3184270,63685,NORMAL,0,,Surat Perjanjian,NOVEMBER 2020,2020-11-30T00:00:00,BELUM POSTING,,
,PPH23,2020,11,3300004472,014415921431000,NPWP,MANDIRI PERWIRA ,24-104-18,2127585,42551,NORMAL,0,,Surat Perjanjian,NOVEMBER 2020,2020-11-30T00:00:00,BELUM POSTING,,
,PPH23,2020,11,3300004473,013929963073000,NPWP,TUNAS MOBILINDO ,24-104-18,1551730,31034,NORMAL,0,,Surat Perjanjian,NOVEMBER 2020,2020-11-30T00:00:00,BELUM POSTING,,
,PPH23,2020,11,3300004474,014122030812000,NPWP,MAKASSAR RAYA ,24-104-18,53823786,1076475,NORMAL,0,,Surat Perjanjian,NOVEMBER 2020,2020-11-30T00:00:00,BELUM POSTING,,
,PPH23,2020,11,3300004475,029463007812000,NPWP,MEGAH PUTRA ,24-104-18,1478911,29578,NORMAL,0,,Surat Perjanjian,NOVEMBER 2020,2020-11-30T00:00:00,BELUM POSTING,,
,PPH23,2020,11,3300004476,011113453812000,NPWP,HADJI KALLA,24-104-18,142139,2842,NORMAL,0,,Surat Perjanjian,NOVEMBER 2020,2020-11-30T00:00:00,BELUM POSTING,,
,PPH23,2020,11,3300004477,011255411812000,NPWP,BOSOWA BERLIAN ,24-104-18,3715351,74307,NORMAL,0,,Surat Perjanjian,NOVEMBER 2020,2020-11-30T00:00:00,BELUM POSTING,,
,PPH23,2020,11,3300004478,661222364811000,NPWP,CAHAYA GRATIA ,24-104-18,38670927,773418,NORMAL,0,,Surat Perjanjian,NOVEMBER 2020,2020-11-30T00:00:00,BELUM POSTING,,
,PPH23,2020,11,3300004479,014446801526000,NPWP,SUN STAR MOTOR,24-104-18,2415916,48318,NORMAL,0,,Surat Perjanjian,NOVEMBER 2020,2020-11-30T00:00:00,BELUM POSTING,,
,PPH23,2020,11,3300004480,014460810511000,NPWP,KARYA ZIRANG ,24-104-18,1633473,32669,NORMAL,0,,Surat Perjanjian,NOVEMBER 2020,2020-11-30T00:00:00,BELUM POSTING,,
,PPH23,2020,11,3300004481,014460810511000,NPWP,KARYA ZIRANG ,24-104-18,2076024,41520,NORMAL,0,,Surat Perjanjian,NOVEMBER 2020,2020-11-30T00:00:00,BELUM POSTING,,
,PPH23,2020,11,3300004482,014460810511000,NPWP,KARYA ZIRANG ,24-104-18,2181818,43636,NORMAL,0,,Surat Perjanjian,NOVEMBER 2020,2020-11-30T00:00:00,BELUM POSTING,,
,PPH23,2020,11,3300004483,014460810511000,NPWP,KARYA ZIRANG ,24-104-18,2136364,42727,NORMAL,0,,Surat Perjanjian,NOVEMBER 2020,2020-11-30T00:00:00,BELUM POSTING,,
,PPH23,2020,11,3300004484,014460810511000,NPWP,KARYA ZIRANG ,24-104-18,2238125,44762,NORMAL,0,,Surat Perjanjian,NOVEMBER 2020,2020-11-30T00:00:00,BELUM POSTING,,
,PPH23,2020,11,3300004485,014460810511000,NPWP,KARYA ZIRANG ,24-104-18,2116925,42338,NORMAL,0,,Surat Perjanjian,NOVEMBER 2020,2020-11-30T00:00:00,BELUM POSTING,,
,PPH23,2020,11,3300004486,014460810511000,NPWP,KARYA ZIRANG ,24-104-18,2116925,42338,NORMAL,0,,Surat Perjanjian,NOVEMBER 2020,2020-11-30T00:00:00,BELUM POSTING,,
,PPH23,2020,11,3300004487,014460810511000,NPWP,KARYA ZIRANG ,24-104-18,2128287,42565,NORMAL,0,,Surat Perjanjian,NOVEMBER 2020,2020-11-30T00:00:00,BELUM POSTING,,
,PPH23,2020,11,3300004488,014460810511000,NPWP,KARYA ZIRANG ,24-104-18,2223353,44467,NORMAL,0,,Surat Perjanjian,NOVEMBER 2020,2020-11-30T00:00:00,BELUM POSTING,,
,PPH23,2020,11,3300004489,014460810511000,NPWP,KARYA ZIRANG ,24-104-18,2363636,47272,NORMAL,0,,Surat Perjanjian,NOVEMBER 2020,2020-11-30T00:00:00,BELUM POSTING,,
,PPH23,2020,11,3300004490,014460810511000,NPWP,KARYA ZIRANG ,24-104-18,2409091,48181,NORMAL,0,,Surat Perjanjian,NOVEMBER 2020,2020-11-30T00:00:00,BELUM POSTING,,
,PPH23,2020,11,3300004491,012468641506001,NPWP,BUMEN REDJA ,24-104-18,603321,12066,NORMAL,0,,Surat Perjanjian,NOVEMBER 2020,2020-11-30T00:00:00,BELUM POSTING,,
,PPH23,2020,11,3300004492,011066800511000,NPWP,NASMOCO,24-104-18,1312290,26245,NORMAL,0,,Surat Perjanjian,NOVEMBER 2020,2020-11-30T00:00:00,BELUM POSTING,,
,PPH23,2020,11,3300004493,011072949516001,NPWP,SURYA INDAH ,24-104-18,1729896,34597,NORMAL,0,,Surat Perjanjian,NOVEMBER 2020,2020-11-30T00:00:00,BELUM POSTING,,
,PPH23,2020,11,3300004494,011072949511000,NPWP,SURYA INDAH ,24-104-18,606375,12127,NORMAL,0,,Surat Perjanjian,NOVEMBER 2020,2020-11-30T00:00:00,BELUM POSTING,,
,PPH23,2020,11,3300004495,706134061506000,NPWP,GUNUNG MURIA ,24-104-18,5621582,112431,NORMAL,0,,Surat Perjanjian,NOVEMBER 2020,2020-11-30T00:00:00,BELUM POSTING,,
,PPH23,2020,11,3300004496,014446801526000,NPWP,SUN STAR MOTOR,24-104-18,3234025,64680,NORMAL,0,,Surat Perjanjian,NOVEMBER 2020,2020-11-30T00:00:00,BELUM POSTING,,
,PPH23,2020,11,3300004497,014446801526000,NPWP,SUN STAR MOTOR,24-104-18,2510091,50201,NORMAL,0,,Surat Perjanjian,NOVEMBER 2020,2020-11-30T00:00:00,BELUM POSTING,,
,PPH23,2020,11,3300004498,020349544511000,NPWP,KUDUS JAYA ,24-104-18,6095890,121917,NORMAL,0,,Surat Perjanjian,NOVEMBER 2020,2020-11-30T00:00:00,BELUM POSTING,,
,PPH23,2020,11,3300004499,706655198507000,NPWP,PATI JAYA MOTOR,24-104-18,11898750,237975,NORMAL,0,,Surat Perjanjian,NOVEMBER 2020,2020-11-30T00:00:00,BELUM POSTING,,
,PPH23,2020,11,3300004500,014566111511000,NPWP,MANDALATAMA ,24-104-18,16900145,0,NORMAL,0,,Surat Perjanjian,NOVEMBER 2020,2020-11-30T00:00:00,BELUM POSTING,,
,PPH23,2020,11,3300004501,019227859631000,NPWP,LIEK MOTOR,24-104-18,691765,13835,NORMAL,0,,Surat Perjanjian,NOVEMBER 2020,2020-11-30T00:00:00,BELUM POSTING,,
,PPH23,2020,11,3300004502,821294030621000,NPWP,SURYA ANUGRAH ,24-104-18,4312675,86253,NORMAL,0,,Surat Perjanjian,NOVEMBER 2020,2020-11-30T00:00:00,BELUM POSTING,,
,PPH23,2020,11,3300004503,014446801526000,NPWP,SUN STAR MOTOR,24-104-18,666197,13323,NORMAL,0,,Surat Perjanjian,NOVEMBER 2020,2020-11-30T00:00:00,BELUM POSTING,,
,PPH23,2020,11,3300004504,012469177524000,NPWP,TUNAS MOBIL,24-104-18,11349851,226997,NORMAL,0,,Surat Perjanjian,NOVEMBER 2020,2020-11-30T00:00:00,BELUM POSTING,,
,PPH23,2020,11,3300004505,014546915524000,NPWP,ARMADA ,24-104-18,5484288,109685,NORMAL,0,,Surat Perjanjian,NOVEMBER 2020,2020-11-30T00:00:00,BELUM POSTING,,
,PPH23,2020,11,3300004506,012468641523001,NPWP,BUMEN REDJA ,24-104-18,7748758,154975,NORMAL,0,,Surat Perjanjian,NOVEMBER 2020,2020-11-30T00:00:00,BELUM POSTING,,
,PPH23,2020,11,3300004507,025576372812000,NPWP,JUJUR JAYA SAKTI,24-104-18,50992789,1019855,NORMAL,0,,Surat Perjanjian,NOVEMBER 2020,2020-11-30T00:00:00,BELUM POSTING,,
,PPH23,2020,11,3300004508,019720101812000,NPWP,ISUZU MOBILINDO ,24-104-18,2971938,59438,NORMAL,0,,Surat Perjanjian,NOVEMBER 2020,2020-11-30T00:00:00,BELUM POSTING,,
,PPH23,2020,11,3300004509,011255411812000,NPWP,BOSOWA BERLIAN ,24-104-18,1347435,26948,NORMAL,0,,Surat Perjanjian,NOVEMBER 2020,2020-11-30T00:00:00,BELUM POSTING,,
,PPH23,2020,11,3300004510,011113917812000,NPWP,MEGAHPUTRA ,24-104-18,11090736,221814,NORMAL,0,,Surat Perjanjian,NOVEMBER 2020,2020-11-30T00:00:00,BELUM POSTING,,
,PPH23,2020,11,3300004511,017962796812000,NPWP,MAKASSAR INDAH ,24-104-18,12401882,248037,NORMAL,0,,Surat Perjanjian,NOVEMBER 2020,2020-11-30T00:00:00,BELUM POSTING,,
,PPH23,2020,11,3300004512,023040207812000,NPWP,WAHANA ,24-104-18,3713454,74269,NORMAL,0,,Surat Perjanjian,NOVEMBER 2020,2020-11-30T00:00:00,BELUM POSTING,,
,PPH23,2020,11,3300004513,767753163805001,NPWP,MAKASSAR ,24-104-18,1825254,36505,NORMAL,0,,Surat Perjanjian,NOVEMBER 2020,2020-11-30T00:00:00,BELUM POSTING,,
,PPH23,2020,11,3300004514,011113263812000,NPWP,SANGGAR LAUT ,24-104-18,84027360,1680547,NORMAL,0,,Surat Perjanjian,NOVEMBER 2020,2020-11-30T00:00:00,BELUM POSTING,,
,PPH23,2020,11,3300004515,867155343801000,NPWP,SINAR LIMA ,24-104-18,53371590,1067431,NORMAL,0,,Surat Perjanjian,NOVEMBER 2020,2020-11-30T00:00:00,BELUM POSTING,,
,PPH23,2020,11,3300004516,027018449812000,NPWP,REMAJA JAYA ,24-104-18,103319011,2066380,NORMAL,0,,Surat Perjanjian,NOVEMBER 2020,2020-11-30T00:00:00,BELUM POSTING,,
,PPH23,2020,11,3300004517,033259268652000,NPWP,KARTIKA SARI ,24-104-18,10565723,211314,NORMAL,0,,Surat Perjanjian,NOVEMBER 2020,2020-11-30T00:00:00,BELUM POSTING,,
,PPH23,2020,11,3300004518,014446801526000,NPWP,SUN STAR MOTOR,24-104-18,1359878,27197,NORMAL,0,,Surat Perjanjian,NOVEMBER 2020,2020-11-30T00:00:00,BELUM POSTING,,
,PPH23,2020,11,3300004519,014562540651000,NPWP,MANDALASENA ,24-104-18,3695576,73911,NORMAL,0,,Surat Perjanjian,NOVEMBER 2020,2020-11-30T00:00:00,BELUM POSTING,,
,PPH23,2020,11,3300004520,763880242077000,NPWP,CARBAY SERVICES ,24-104-18,50134054,1002681,NORMAL,0,,Surat Perjanjian,NOVEMBER 2020,2020-11-30T00:00:00,BELUM POSTING,,
,PPH23,2020,11,3300004521,751913468043000,NPWP,ANGKASA BARU ,24-104-18,1664475,33289,NORMAL,0,,Surat Perjanjian,NOVEMBER 2020,2020-11-30T00:00:00,BELUM POSTING,,
,PPH23,2020,11,3300004522,664511888804000,NPWP,GENKI KIRANA ,24-104-18,1664475,33289,NORMAL,0,,Surat Perjanjian,NOVEMBER 2020,2020-11-30T00:00:00,BELUM POSTING,,
,PPH23,2020,11,3300004523,011113917812000,NPWP,MEGAHPUTRA ,24-104-18,2568429,51368,NORMAL,0,,Surat Perjanjian,NOVEMBER 2020,2020-11-30T00:00:00,BELUM POSTING,,
,PPH23,2020,11,3300004524,017077421062000,NPWP,ASCO PRIMA ,24-104-18,990768,0,NORMAL,0,,Surat Perjanjian,NOVEMBER 2020,2020-11-30T00:00:00,BELUM POSTING,,
,PPH23,2020,11,3300004525,024269250415000,NPWP,BESTINDO CAR ,24-104-18,5352020,107040,NORMAL,0,,Surat Perjanjian,NOVEMBER 2020,2020-11-30T00:00:00,BELUM POSTING,,
,PPH23,2020,11,3300004526,315067520086000,NPWP,DAYA ADICIPTA ,24-104-18,15527714,0,NORMAL,0,,Surat Perjanjian,NOVEMBER 2020,2020-11-30T00:00:00,BELUM POSTING,,
,PPH23,2020,11,3300004527,018722850123000,NPWP,DELTAMAS SURYA ,24-104-18,2240354,44807,NORMAL,0,,Surat Perjanjian,NOVEMBER 2020,2020-11-30T00:00:00,BELUM POSTING,,
,PPH23,2020,11,3300004528,013364922036000,NPWP,ADHIPRIMA UTAMA ,24-104-18,9062786,181255,NORMAL,0,,Surat Perjanjian,NOVEMBER 2020,2020-11-30T00:00:00,BELUM POSTING,,
,PPH23,2020,11,3300004529,030165120034000,NPWP,ASTRIDO PRIMA ,24-104-18,3132531,62650,NORMAL,0,,Surat Perjanjian,NOVEMBER 2020,2020-11-30T00:00:00,BELUM POSTING,,
,PPH23,2020,11,3300004530,032753824014000,NPWP,ANANTA AUTO ,24-104-18,8276864,165537,NORMAL,0,,Surat Perjanjian,NOVEMBER 2020,2020-11-30T00:00:00,BELUM POSTING,,
,PPH23,2020,11,3300004531,031684723307000,NPWP,PERSADA ,24-104-18,1541705,30834,NORMAL,0,,Surat Perjanjian,NOVEMBER 2020,2020-11-30T00:00:00,BELUM POSTING,,
,PPH23,2020,11,3300004532,763880242077000,NPWP,CARBAY SERVICES ,24-104-18,59243561,1184871,NORMAL,0,,Surat Perjanjian,NOVEMBER 2020,2020-11-30T00:00:00,BELUM POSTING,,
,PPH23,2020,11,3300004533,012468641015001,NPWP,BUMEN REDJA ,24-104-18,1715736,34314,NORMAL,0,,Surat Perjanjian,NOVEMBER 2020,2020-11-30T00:00:00,BELUM POSTING,,
,PPH23,2020,11,3300004534,705705416047000,NPWP,LARAS EXATA ,24-104-18,4191932,83838,NORMAL,0,,Surat Perjanjian,NOVEMBER 2020,2020-11-30T00:00:00,BELUM POSTING,,
,PPH23,2020,11,3300004535,011355542123000,NPWP,DIPO ,24-104-18,379080,7581,NORMAL,0,,Surat Perjanjian,NOVEMBER 2020,2020-11-30T00:00:00,BELUM POSTING,,
,PPH23,2020,11,3300004536,015427081007000,NPWP,INDOMOBIL PRIMA ,24-104-18,1248284,24965,NORMAL,0,,Surat Perjanjian,NOVEMBER 2020,2020-11-30T00:00:00,BELUM POSTING,,
,PPH23,2020,11,3300004537,015537582123000,NPWP,SARDANA ,24-104-18,1590349,31806,NORMAL,0,,Surat Perjanjian,NOVEMBER 2020,2020-11-30T00:00:00,BELUM POSTING,,
,PPH23,2020,11,3300004538,315067520121001,NPWP,DAYA ADICIPTA ,24-104-18,11669199,0,NORMAL,0,,Surat Perjanjian,NOVEMBER 2020,2020-11-30T00:00:00,BELUM POSTING,,
,PPH23,2020,11,3300004539,018722850123000,NPWP,DELTAMAS SURYA ,24-104-18,5120469,102409,NORMAL,0,,Surat Perjanjian,NOVEMBER 2020,2020-11-30T00:00:00,BELUM POSTING,,
,PPH23,2020,11,3300004540,012252276123000,NPWP,ISTANA DELI ,24-104-18,3585353,71707,NORMAL,0,,Surat Perjanjian,NOVEMBER 2020,2020-11-30T00:00:00,BELUM POSTING,,
,PPH23,2020,11,3300004541,011355542123000,NPWP,DIPO ,24-104-18,3238110,64762,NORMAL,0,,Surat Perjanjian,NOVEMBER 2020,2020-11-30T00:00:00,BELUM POSTING,,
,PPH23,2020,11,3300004542,011004785123000,NPWP,PERINTIS PERKASA,24-104-18,626729,12534,NORMAL,0,,Surat Perjanjian,NOVEMBER 2020,2020-11-30T00:00:00,BELUM POSTING,,
,PPH23,2020,11,3300004543,021396262451001,NPWP,PLAZA AUTO RAYA,24-104-18,640686,12813,NORMAL,0,,Surat Perjanjian,NOVEMBER 2020,2020-11-30T00:00:00,BELUM POSTING,,
,PPH23,2020,11,3300004544,763880242077000,NPWP,CARBAY SERVICES ,24-104-18,15447772,308955,NORMAL,0,,Surat Perjanjian,NOVEMBER 2020,2020-11-30T00:00:00,BELUM POSTING,,
,PPH23,2020,11,3300004545,017077421062000,NPWP,ASCO PRIMA ,24-104-18,1903399,0,NORMAL,0,,Surat Perjanjian,NOVEMBER 2020,2020-11-30T00:00:00,BELUM POSTING,,
,PPH23,2020,11,3300004546,011372380631000,NPWP,UNITED MOTORS ,24-104-18,1563570,31271,NORMAL,0,,Surat Perjanjian,NOVEMBER 2020,2020-11-30T00:00:00,BELUM POSTING,,
,PPH23,2020,11,3300004547,314093014602001,NPWP,ISTANA MITRA ,24-104-18,16156107,323122,NORMAL,0,,Surat Perjanjian,NOVEMBER 2020,2020-11-30T00:00:00,BELUM POSTING,,
,PPH23,2020,11,3300004548,016774135631000,NPWP,SRIKANDIDIAMOND ,24-104-18,671727,13434,NORMAL,0,,Surat Perjanjian,NOVEMBER 2020,2020-11-30T00:00:00,BELUM POSTING,,
,PPH23,2020,11,3300004549,011372380631000,NPWP,UNITED MOTORS ,24-104-18,1615884,32317,NORMAL,0,,Surat Perjanjian,NOVEMBER 2020,2020-11-30T00:00:00,BELUM POSTING,,
,PPH23,2020,11,3300004550,763880242077000,NPWP,CARBAY SERVICES ,24-104-18,18440241,368804,NORMAL,0,,Surat Perjanjian,NOVEMBER 2020,2020-11-30T00:00:00,BELUM POSTING,,
